Experience,Salary
6,43062.62911197099
19,65281.20014285411
14,50639.94939209833
10,50017.66448946012
7,42308.18012523817
6,35774.401226974376
18,58806.97802754207
10,52690.18283232985
10,44820.869804450245
3,42323.21827907003
7,27401.274479551277
2,37109.51252187612
1,31935.235341190855
11,45004.96324767066
5,37958.80388267751
1,21562.155426995538
0,28901.64056081244
11,48285.56285755873
11,53889.47022370758
16,51408.64890863176
9,39457.531985534064
15,49991.21478207732
14,55577.01058851037
14,52643.755548298424
18,54351.19898116481
11,49066.33716556678
19,58985.387746740205
2,37843.224952664445
4,32489.734530613237
18,55361.689267011156
6,37039.459234339214
8,34682.425259339405
6,40480.60138532288
17,56805.27636089945
3,34525.5672832123
13,48327.06433312427
17,48423.14628974793
8,39896.773386173205
1,29786.427417366154
19,54488.61365389191
14,50193.571441669956
6,41020.25428407269
11,55930.92950605265
7,41372.88906415919
14,52287.75195361382
2,32627.770421169163
13,39906.143923504795
16,53867.43062275391
3,34801.151049705135
17,67816.21056242644
7,39538.195176094385
3,36007.73671166806
1,31326.441151473784
5,31656.60981190234
9,49214.1140725751
3,38259.66516343387
17,59455.15973521523
11,41953.062726026306
1,38513.971554680495
9,36490.7446860386
3,37434.28546900135
13,60452.2781290499
15,47547.318374346556
14,48168.51135198614
7,40998.256825438206
13,46982.62172941901
7,32746.682844669336
15,52842.81487403013
12,42688.48143136947
17,57867.96215317591
14,46402.87882883099
12,55749.6720250877
8,38083.73353831882
14,49389.69241897162
12,52067.58608684835
0,23845.678417830226
6,40137.29967302065
8,48535.71377141214
0,21962.583827193863
11,47423.16929266152
7,41799.41397124212
10,48909.11435888655
18,50815.24644560959
16,47397.71693457862
7,43109.70782808449
2,34484.92336616593
2,34252.46425172938
0,31732.24104748488
4,32599.876392107544
9,44661.26848580502
6,40465.362366493406
8,38428.24290986816
6,48328.872555723785
8,44369.16460455894
7,34543.48251398676
11,49782.76804316915
1,26626.591648863392
0,33935.42301871226
15,58292.977895037024
4,31896.58840824145
